asset,published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,max_up_pct_24,max_down_pct_24,close_change_pct_24,range_pct_24,max_up_pct_48,max_down_pct_48,close_change_pct_48,range_pct_48,max_up_pct_168,max_down_pct_168,close_change_pct_168,range_pct_168,max_up_pct_336,max_down_pct_336,close_change_pct_336,range_pct_336,t_hit_up_0p5,t_hit_down_0p5,mdd_before_hit_up_0p5,t_hit_up_1,t_hit_down_1,mdd_before_hit_up_1,t_hit_up_2,t_hit_down_2,mdd_before_hit_up_2,t_hit_up_3,t_hit_down_3,mdd_before_hit_up_3,t_hit_up_5,t_hit_down_5,mdd_before_hit_up_5
ETH-USDT,2025-12-17T15:47:15+00:00,2025-12-17T17:47:15+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T15-47-15Z.json,1765983600,2930.46,2.286,-4.7593,1.7526,7.0453,3.0122,-5.1343,1.3073,8.1465,4.9961,-5.1343,-0.4747,10.1305,4.9961,-5.1343,1.5141,10.1305,22,1,-4.7593,22,1,-4.7593,23,1,-4.7593,48,1,-5.1343,,29,
ETH-USDT,2025-12-17T16:58:56+00:00,2025-12-17T18:58:56+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T16-58-56Z.json,1765987200,2858.49,4.8613,-2.3614,2.9981,7.2227,5.6058,-2.7459,3.9794,8.3516,7.6397,-2.7459,2.8575,10.3856,7.6397,-2.7459,4.2736,10.3856,1,1,-0.5776,21,2,-2.3614,21,3,-2.3614,21,,-2.3614,47,,-2.7459
ETH-USDT,2025-12-17T17:47:11+00:00,2025-12-17T19:47:11+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T17-47-11Z.json,1765990800,2850.9,5.1405,-2.1014,-0.2529,7.2419,5.8869,-2.4869,3.6992,8.3738,7.9263,-2.4869,3.3011,10.4132,7.9263,-2.4869,4.3677,10.4132,19,1,-2.1014,20,1,-2.1014,20,2,-2.1014,20,,-2.1014,22,,-2.1014
ETH-USDT,2025-12-17T18:59:09+00:00,2025-12-17T20:59:09+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T18-59-09Z.json,1765994400,2810.85,6.6386,-0.7065,0.5781,7.3451,7.3956,-1.0975,5.62,8.4932,9.464,-1.0975,4.6374,10.5616,9.464,-1.0975,5.9672,10.5616,2,1,-0.7065,6,26,-0.7065,18,,-0.7065,19,,-0.7065,19,,-0.7065
ETH-USDT,2025-12-17T19:32:18+00:00,2025-12-17T21:32:18+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T19-32-18Z.json,1765998000,2807.68,6.759,-0.3722,0.6115,7.1312,7.5169,-0.9859,6.1375,8.5027,9.5876,-0.9859,4.8613,10.5735,9.5876,-0.9859,5.9768,10.5735,1,25,-0.0808,3,,-0.0808,15,,-0.0808,18,,-0.0808,18,,-0.0808
ETH-USDT,2025-12-17T20:44:20+00:00,2025-12-17T22:44:20+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T20-44-20Z.json,1766001600,2827.42,6.0136,-1.6771,-1.0975,7.6908,6.7662,-1.6771,5.9432,8.4434,8.8225,-1.6771,4.2134,10.4997,8.8225,-1.6771,5.146,10.4997,6,1,-0.5546,13,21,-0.5546,17,,-0.5546,17,,-0.5546,17,,-0.5546
ETH-USDT,2025-12-17T21:37:59+00:00,2025-12-17T23:37:59+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T21-37-59Z.json,1766005200,2815.38,6.467,-1.2567,0.2113,7.7236,7.2228,-1.2567,5.936,8.4795,9.2879,-1.2567,4.7223,10.5446,9.2879,-1.2567,5.8667,10.5446,1,20,-0.0678,5,23,-0.0678,15,,-0.0678,16,,-0.0678,16,,-0.0678
ETH-USDT,2025-12-17T22:41:44+00:00,2025-12-18T00:41:44+02:00,2025-12-18,data/history/2025-12-18/2025-12-17T22-41-44Z.json,1766008800,2829.04,5.9529,-1.7335,-0.0392,7.6864,6.7051,-1.7335,5.7398,8.4386,8.7602,-1.7335,4.5751,10.4937,8.7602,-1.7335,5.3633,10.4937,4,19,-0.3775,12,19,-0.3775,15,,-0.3775,15,,-0.3775,15,,-0.3775
ETH-USDT,2025-12-17T23:34:15+00:00,2025-12-18T01:34:15+02:00,2025-12-18,data/history/2025-12-18/2025-12-17T23-34-15Z.json,1766012400,2823.72,6.1525,-1.5483,0.1866,7.7008,6.9061,-1.5483,5.6702,8.4545,8.9651,-1.5483,4.4703,10.5134,8.9651,-1.5483,5.3692,10.5134,1,18,0.0,9,21,-0.0786,14,,-0.0786,14,,-0.0786,14,,-0.0786
ETH-USDT,2025-12-18T03:20:24+00:00,2025-12-18T05:20:24+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T03-20-24Z.json,1766026800,2832.84,5.8108,-1.8653,3.2515,7.676,6.562,-1.8653,5.3205,8.4272,8.6143,-1.8653,4.0376,10.4796,8.6143,-1.8653,5.1913,10.4796,5,14,-0.3594,7,14,-0.3594,10,,-0.3594,10,,-0.3594,11,,-0.3594
ETH-USDT,2025-12-18T03:27:57+00:00,2025-12-18T05:27:57+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T03-27-57Z.json,1766026800,2828.53,5.972,-1.7157,3.4088,7.6877,6.7243,-1.7157,5.4809,8.4401,8.7798,-1.7157,4.1962,10.4956,8.7798,-1.7157,5.3515,10.4956,5,14,-0.2075,6,14,-0.2075,10,,-0.2075,10,,-0.2075,10,,-0.2075
ETH-USDT,2025-12-18T03:30:28+00:00,2025-12-18T05:30:28+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T03-30-28Z.json,1766026800,2829.65,5.9301,-1.7546,3.3679,7.6847,6.6821,-1.7546,5.4392,8.4367,8.7368,-1.7546,4.1549,10.4914,8.7368,-1.7546,5.3098,10.4914,5,14,-0.247,7,14,-0.247,10,,-0.247,10,,-0.247,10,,-0.247
ETH-USDT,2025-12-18T03:36:44+00:00,2025-12-18T05:36:44+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T03-36-44Z.json,1766026800,2823.65,6.1552,-1.5459,3.5876,7.701,6.9088,-1.5459,5.6632,8.4547,8.9678,-1.5459,4.3763,10.5137,8.9678,-1.5459,5.5336,10.5137,1,14,0.0,5,17,-0.0351,10,,-0.0351,10,,-0.0351,10,,-0.0351
ETH-USDT,2025-12-18T04:58:35+00:00,2025-12-18T06:58:35+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T04-58-35Z.json,1766030400,2838.37,5.6046,-2.0565,2.9619,7.6611,6.3544,-2.0565,5.1653,8.4108,8.4027,-2.0565,3.7546,10.4592,8.4027,-2.0565,4.8588,10.4592,5,1,-0.5535,8,13,-0.5535,9,16,-0.5535,9,,-0.5535,10,,-0.5535
ETH-USDT,2025-12-18T05:48:14+00:00,2025-12-18T07:48:14+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T05-48-14Z.json,1766034000,2827.01,6.029,-1.6629,3.3056,7.6919,6.7817,-1.6629,5.5861,8.4446,8.8383,-1.6629,4.1015,10.5012,8.8383,-1.6629,5.4694,10.5012,3,12,-0.1132,4,12,-0.1132,8,,-0.1132,8,,-0.1132,8,,-0.1132
ETH-USDT,2025-12-18T07:01:00+00:00,2025-12-18T09:01:00+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T07-01-00Z.json,1766041200,2835.23,5.7216,-1.948,4.1817,7.6696,6.4721,-1.948,5.225,8.4201,8.5228,-1.948,3.8092,10.4708,8.5228,-1.948,5.0387,10.4708,1,10,-0.1164,3,10,-0.1164,6,,-0.1164,6,,-0.1164,7,,-0.1164
ETH-USDT,2025-12-18T07:40:36+00:00,2025-12-18T09:40:36+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T07-40-36Z.json,1766041200,2834.88,5.7346,-1.9359,4.1945,7.6705,6.4853,-1.9359,5.238,8.4212,8.5362,-1.9359,3.822,10.472,8.5362,-1.9359,5.0517,10.472,1,10,-0.1041,3,10,-0.1041,6,,-0.1041,6,,-0.1041,7,,-0.1041
ETH-USDT,2025-12-18T08:58:28+00:00,2025-12-18T10:58:28+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T08-58-28Z.json,1766044800,2841.62,5.4838,-2.1685,3.8795,7.6523,6.2327,-2.1685,5.0492,8.4012,8.2787,-2.1685,3.1436,10.4472,8.2787,-2.1685,4.887,10.4472,1,9,-0.2432,4,9,-0.2432,5,12,-0.2432,5,,-0.2432,6,,-0.2432
ETH-USDT,2025-12-18T09:52:14+00:00,2025-12-18T11:52:14+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T09-52-14Z.json,1766048400,2855.03,4.9884,-2.628,3.3905,7.6164,5.7337,-2.628,4.5821,8.3617,7.7701,-2.628,2.5695,10.3981,7.7701,-2.628,4.4949,10.3981,3,8,-0.1954,4,8,-0.1954,4,8,-0.1954,4,,-0.1954,30,,-2.628
ETH-USDT,2025-12-18T10:49:51+00:00,2025-12-18T12:49:51+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T10-49-51Z.json,1766052000,2858.39,4.865,-2.7425,3.3543,7.6074,5.6095,-2.7425,4.1135,8.3519,7.6435,-2.7425,2.0945,10.3859,7.6435,-2.7425,4.3647,10.3859,2,7,-0.2725,3,7,-0.2725,3,7,-0.2725,3,,-0.2725,29,,-2.7425
ETH-USDT,2025-12-18T11:33:07+00:00,2025-12-18T13:33:07+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T11-33-07Z.json,1766055600,2856.25,4.9435,-2.6696,3.8684,7.6131,5.6886,-2.6696,4.6134,8.3582,7.7241,-2.6696,2.3979,10.3937,7.7241,-2.6696,4.6197,10.3937,1,6,-0.0599,2,6,-0.0599,2,6,-0.0599,2,,-0.0599,28,,-2.6696
ETH-USDT,2025-12-18T13:50:44+00:00,2025-12-18T15:50:44+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T13-50-44Z.json,1766062800,2963.25,1.1541,-6.1841,-0.0297,7.3382,1.8723,-6.1841,0.3111,8.0564,3.8343,-6.1841,-1.1207,10.0184,3.8343,-6.1841,0.7812,10.0184,1,1,-1.3536,2,1,-1.3536,83,4,-6.1841,83,4,-6.1841,,4,
ETH-USDT,2025-12-18T14:50:42+00:00,2025-12-18T16:50:42+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T14-50-42Z.json,1766066400,2938.42,2.0089,-5.3913,1.5529,7.4002,2.7331,-5.3913,1.298,8.1244,4.7117,-5.3913,-0.1763,10.103,4.7117,-5.3913,1.3626,10.103,1,3,-0.1749,1,3,-0.1749,1,3,-0.1749,82,3,-5.3913,,6,
ETH-USDT,2025-12-18T15:44:18+00:00,2025-12-18T17:44:18+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T15-44-18Z.json,1766070000,2981.82,1.2378,-6.7683,-0.4377,8.0062,1.2378,-6.7683,-0.2116,8.0062,3.1877,-6.7683,-0.4477,9.956,3.1877,-6.7683,0.1013,9.956,24,1,-6.7683,24,1,-6.7683,81,2,-6.7683,93,2,-6.7683,,2,
ETH-USDT,2025-12-18T16:59:19+00:00,2025-12-18T18:59:19+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T16-59-19Z.json,1766073600,2944.19,2.5318,-5.5767,0.9527,8.1085,2.5318,-5.5767,1.0692,8.1085,4.5065,-5.5767,0.2184,10.0832,4.5065,-5.5767,1.3749,10.0832,15,1,-5.5767,15,1,-5.5767,23,1,-5.5767,80,1,-5.5767,,4,
ETH-USDT,2025-12-18T17:49:04+00:00,2025-12-18T19:49:04+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T17-49-04Z.json,1766077200,2843.69,6.1554,-2.2397,3.9621,8.3951,6.1554,-2.2397,4.785,8.3951,8.1999,-2.2397,3.6797,10.4396,8.1999,-2.2397,5.5875,10.4396,1,1,-0.8658,10,2,-2.2397,10,3,-2.2397,10,,-2.2397,21,,-2.2397
