asset,published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,n_candles_snapshot,ret_6h_pct,ret_12h_pct,ret_24h_pct,ret_48h_pct,range_24h_pct,range_48h_pct,atr14_pct,dist_from_24h_high_pct,dist_from_24h_low_pct,dist_from_48h_high_pct,dist_from_48h_low_pct,close_vs_sma_24_pct,close_vs_sma_48_pct,is_up_24h,is_up_48h
ETH-USDT,2025-12-17T10:50:42+00:00,2025-12-17T12:50:42+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T10-50-42Z.json,1765965600,2921.3,96,-0.3755,-1.113,-0.8953,-7.5447,3.2924,9.7491,0.9105,-2.1049,1.1875,-8.2614,1.4877,-0.7288,-1.2631,0,0
ETH-USDT,2025-12-17T11:34:31+00:00,2025-12-17T13:34:31+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T11-34-31Z.json,1765969200,2928.97,96,-0.0577,-1.1238,-0.9747,-7.2192,3.2837,9.6,0.8745,-1.8375,1.4462,-7.8543,1.7457,-0.4265,-0.8442,0,0
ETH-USDT,2025-12-17T13:45:56+00:00,2025-12-17T15:45:56+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T13-45-56Z.json,1765976400,2939.76,96,-0.2846,-0.4888,1.0064,-6.1514,3.0332,9.1531,0.8498,-1.2253,1.808,-7.0468,2.1063,-0.0625,-0.1804,1,0
ETH-USDT,2025-12-17T14:52:27+00:00,2025-12-17T16:52:27+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T14-52-27Z.json,1765980000,2933.65,96,0.2642,-0.8718,-0.2669,-3.7785,3.0542,6.2247,0.9776,-1.4361,1.6181,-4.3223,1.9024,-0.2658,-0.31,0,0
ETH-USDT,2025-12-17T15:47:15+00:00,2025-12-17T17:47:15+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T15-47-15Z.json,1765983600,2930.46,96,0.2429,-0.5852,-1.1169,-2.6703,4.932,5.2166,1.2597,-3.421,1.511,-3.421,1.7956,-0.4152,-0.4055,0,0
ETH-USDT,2025-12-17T16:58:56+00:00,2025-12-17T18:58:56+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T16-58-56Z.json,1765987200,2858.49,96,-2.1256,-2.5175,-2.7208,-4.3715,6.8778,6.8778,1.5087,-6.0249,0.8529,-6.0249,0.8529,-2.7155,-2.7439,0,0
ETH-USDT,2025-12-17T17:47:11+00:00,2025-12-17T19:47:11+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T17-47-11Z.json,1765990800,2850.9,96,-2.6428,-2.7216,-2.342,-2.9474,6.8961,6.8961,1.4977,-6.3071,0.5889,-6.3071,0.5889,-2.8878,-2.9466,0,0
ETH-USDT,2025-12-17T18:59:09+00:00,2025-12-17T20:59:09+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T18-59-09Z.json,1765994400,2810.85,96,-3.9134,-4.2805,-4.7883,-4.3261,7.9912,7.9912,1.5537,-7.8218,0.1693,-7.8218,0.1693,-4.0547,-4.2213,0,0
ETH-USDT,2025-12-17T19:32:18+00:00,2025-12-17T21:32:18+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T19-32-18Z.json,1765998000,2807.68,96,-4.645,-4.7647,-4.6942,-4.5082,8.538,8.538,1.5142,-7.9436,0.5944,-7.9436,0.5944,-3.9778,-4.241,0,0
ETH-USDT,2025-12-17T20:44:20+00:00,2025-12-17T22:44:20+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T20-44-20Z.json,1766001600,2827.42,96,-5.6215,-3.3665,-4.0844,-3.4588,8.4784,8.4784,1.4771,-7.1899,1.2885,-7.1899,1.2885,-3.1542,-3.5071,0,0
ETH-USDT,2025-12-17T21:37:59+00:00,2025-12-17T23:37:59+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T21-37-59Z.json,1766005200,2815.38,96,-3.0797,-3.6937,-4.6093,-4.4332,8.5147,8.5147,1.4266,-7.6483,0.8663,-7.6483,0.8663,-3.3733,-3.8259,0,0
ETH-USDT,2025-12-17T22:41:44+00:00,2025-12-18T00:41:44+02:00,2025-12-18,data/history/2025-12-18/2025-12-17T22-41-44Z.json,1766008800,2829.04,96,-1.2324,-3.134,-4.236,-4.1669,8.4735,8.4735,1.3792,-7.1286,1.345,-7.1286,1.345,-2.7367,-3.2777,0,0
ETH-USDT,2025-12-17T23:34:15+00:00,2025-12-18T01:34:15+02:00,2025-12-18,data/history/2025-12-18/2025-12-17T23-34-15Z.json,1766012400,2823.72,96,-0.8306,-3.571,-4.6768,-4.7633,8.4895,8.4895,1.3278,-7.3304,1.1591,-7.3304,1.1591,-2.735,-3.3665,0,0
ETH-USDT,2025-12-18T03:20:24+00:00,2025-12-18T05:20:24+02:00,2025-12-18,data/history/2025-12-18/2025-12-18T03-20-24Z.json,1766026800,2832.84,96,0.4592,-2.4786,-3.8969,-3.5438,8.4622,8.4622,1.1283,-6.9849,1.4773,-6.9849,1.4773,-1.7618,-2.7575,0,0
