asset,published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,n_candles_snapshot,ret_6h_pct,ret_12h_pct,ret_24h_pct,ret_48h_pct,range_24h_pct,range_48h_pct,atr14_pct,dist_from_24h_high_pct,dist_from_24h_low_pct,dist_from_48h_high_pct,dist_from_48h_low_pct,close_vs_sma_24_pct,close_vs_sma_48_pct,is_up_24h,is_up_48h,max_up_pct_24,max_down_pct_24,close_change_pct_24,range_pct_24,max_up_pct_48,max_down_pct_48,close_change_pct_48,range_pct_48,max_up_pct_168,max_down_pct_168,close_change_pct_168,range_pct_168,max_up_pct_336,max_down_pct_336,close_change_pct_336,range_pct_336,t_hit_up_0p5,t_hit_down_0p5,mdd_before_hit_up_0p5,t_hit_up_1,t_hit_down_1,mdd_before_hit_up_1,t_hit_up_2,t_hit_down_2,mdd_before_hit_up_2,t_hit_up_3,t_hit_down_3,mdd_before_hit_up_3,t_hit_up_5,t_hit_down_5,mdd_before_hit_up_5
ETH-USDT,2025-12-16T16:58:50+00:00,2025-12-16T18:58:50+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T16-58-50Z.json,1765900800,2964.09,96,-0.0017,0.8314,-1.7772,-4.6239,1.3147,8.1229,1.3628,0.4942,1.809,-6.3139,1.809,0.2061,-2.4729,0,0,-0.5182,-3.5626,-1.3016,3.0444,-0.5182,-5.2768,0.1167,4.7586,2.8319,-5.6577,0.0752,8.4896,2.8319,-5.6577,1.0303,8.4896,77,1,-5.6577,114,1,-5.6577,133,24,-5.6577,,24,,,26,
ETH-USDT,2025-12-16T17:48:52+00:00,2025-12-16T19:48:52+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T17-48-52Z.json,1765904400,2954.42,96,-0.2775,0.9047,-1.3029,-4.8137,1.319,8.1495,1.3706,0.1686,1.4876,-6.6619,1.4876,-0.0659,-2.6914,0,0,-0.1926,-3.5039,-2.5487,3.3113,-0.1926,-4.9668,-0.3422,4.7742,3.1685,-5.3489,0.4065,8.5174,3.1685,-5.3489,1.0923,8.5174,75,2,-5.3489,91,15,-5.3489,128,23,-5.3489,139,23,-5.3489,,51,
ETH-USDT,2025-12-16T18:57:37+00:00,2025-12-16T20:57:37+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T18-57-37Z.json,1765908000,2967.85,96,0.1241,0.5696,0.8272,-4.4189,1.3131,8.1126,1.382,0.6203,1.9334,-6.1792,1.9334,0.354,-2.1569,1,0,-0.6442,-5.29,-3.5524,4.6458,-0.6442,-5.3968,-3.3617,4.7526,2.7016,-5.7772,-0.5169,8.4789,2.7016,-5.7772,0.3716,8.4789,90,1,-5.7772,126,1,-5.7772,131,22,-5.7772,,22,,,24,
ETH-USDT,2025-12-16T19:32:29+00:00,2025-12-16T21:32:29+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T19-32-29Z.json,1765911600,2952.36,96,-1.0202,0.1418,-0.4172,-4.8194,1.32,8.1552,1.4041,0.0989,1.4189,-6.7363,1.4189,-0.1524,-2.5676,0,0,-0.123,-4.9005,-4.536,4.7775,-0.123,-4.9005,-4.0486,4.7775,3.2405,-5.2829,0.0718,8.5234,3.2405,-5.2829,0.6568,8.5234,73,9,-5.2829,80,15,-5.2829,126,21,-5.2829,137,21,-5.2829,,49,
ETH-USDT,2025-12-16T20:43:34+00:00,2025-12-16T22:43:34+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T20-43-34Z.json,1765915200,2963.57,96,0.1071,0.7924,0.5691,-4.3423,1.315,8.1243,1.3334,0.4768,1.7918,-6.3326,1.7918,0.1957,-2.1106,1,0,-0.5007,-5.2602,-4.3569,4.7595,-0.5007,-5.6412,-5.0459,5.1404,2.8499,-5.6412,0.6884,8.4911,2.8499,-5.6412,0.3459,8.4911,73,8,-5.6412,110,8,-5.6412,129,20,-5.6412,,20,,,22,
ETH-USDT,2025-12-16T21:36:42+00:00,2025-12-16T23:36:42+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T21-36-42Z.json,1765918800,2955.35,96,-0.6865,0.6755,0.2626,-4.3991,1.3186,8.1469,1.3033,0.2,1.5186,-6.6283,1.5186,-0.0931,-2.2907,1,0,-0.224,-4.9967,-4.2039,4.7727,-0.224,-5.3787,-4.393,5.1547,3.136,-5.3787,0.6639,8.5147,3.136,-5.3787,0.3529,8.5147,71,7,-5.3787,87,11,-5.3787,124,19,-5.3787,136,19,-5.3787,,47,
ETH-USDT,2025-12-16T22:39:17+00:00,2025-12-17T00:39:17+02:00,2025-12-17,data/history/2025-12-17/2025-12-16T22-39-17Z.json,1765922400,2958.41,96,-0.1916,-0.1933,0.1944,-4.2431,1.3173,8.1385,1.2428,0.3032,1.6205,-6.518,1.6205,-0.0015,-2.1029,1,0,-0.3272,-5.095,-4.0846,4.7678,-0.3272,-5.4766,-4.0471,5.1494,3.0293,-5.4766,0.7467,8.5059,3.0293,-5.4766,0.4594,8.5059,70,6,-5.4766,108,7,-5.4766,123,18,-5.4766,135,18,-5.4766,,21,
ETH-USDT,2025-12-16T23:33:40+00:00,2025-12-17T01:33:40+02:00,2025-12-17,data/history/2025-12-17/2025-12-16T23-33-40Z.json,1765926000,2957.27,96,0.0965,-0.1813,-0.4139,-4.3252,1.2711,8.1416,1.1857,0.3114,1.5825,-6.5591,1.5825,-0.0264,-2.0521,0,0,-0.2888,-5.0584,-4.0994,4.7696,-0.2888,-5.4402,-4.1799,5.1514,3.069,-5.4402,0.352,8.5092,3.069,-5.4402,0.6242,8.5092,69,5,-5.4402,107,6,-5.4402,122,17,-5.4402,134,17,-5.4402,,20,
ETH-USDT,2025-12-17T02:59:38+00:00,2025-12-17T04:59:38+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T02-59-38Z.json,1765936800,2964.59,96,0.0344,0.1415,-0.0587,-5.9568,1.2906,8.1215,1.1083,0.535,1.8255,-6.296,1.8255,0.217,-1.5047,0,0,-0.6426,-5.2928,-3.9365,4.6502,-0.6426,-5.6736,-4.1749,5.031,2.8146,-5.6736,0.0273,8.4882,2.8146,-5.6736,0.6021,8.4882,67,1,-5.6736,118,2,-5.6736,123,14,-5.6736,,14,,,16,
ETH-USDT,2025-12-17T03:44:51+00:00,2025-12-17T05:44:51+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T03-44-51Z.json,1765940400,2961.95,96,0.1335,-0.4648,0.386,-5.2485,1.2917,8.1288,1.076,0.4463,1.738,-6.3907,1.738,0.1117,-1.4805,1,0,-1.0088,-5.2084,-4.1712,4.1996,-0.9679,-5.5896,-0.9078,4.6216,2.9062,-5.5896,-0.4902,8.4958,2.9062,-5.5896,0.7407,8.4958,65,1,-5.5896,103,2,-5.5896,122,13,-5.5896,,13,,,15,
